epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,880.619,0.78294,0.46699,0.95659,0.806,0.8312,0.85743,0.46824,1.68402,0.78755,1.65642,0.00085348,0.00085348,0.00085348
76,892.658,0.73772,0.45998,0.93516,0.83777,0.82661,0.84717,0.45189,1.70877,0.81871,1.66387,0.0008515,0.0008515,0.0008515
77,904.191,0.75188,0.46487,0.95068,0.83244,0.79509,0.83694,0.44472,1.69325,0.81176,1.65926,0.00084952,0.00084952,0.00084952
78,915.598,0.72913,0.436,0.92748,0.90193,0.73619,0.81035,0.46893,1.66885,0.887,1.65655,0.00084754,0.00084754,0.00084754
79,926.195,0.73994,0.45311,0.96629,0.90487,0.76098,0.85297,0.45892,1.7574,0.89662,1.70798,0.00084556,0.00084556,0.00084556
80,937.793,0.77983,0.459,0.96059,0.91866,0.76,0.79882,0.44342,1.79194,1.04263,1.71252,0.00084358,0.00084358,0.00084358
81,949.558,0.71037,0.4336,0.93176,0.83018,0.76,0.79635,0.42273,1.79733,1.02053,1.71691,0.0008416,0.0008416,0.0008416
82,960.789,0.68686,0.43314,0.92275,0.82799,0.8,0.84255,0.43522,1.75057,0.99022,1.63138,0.00083962,0.00083962,0.00083962
83,971.078,0.69983,0.44155,0.9413,0.78776,0.8,0.80885,0.45041,1.69736,0.88141,1.60241,0.00083764,0.00083764,0.00083764
84,983.444,0.71219,0.43655,0.9304,0.8478,0.8,0.85195,0.47826,1.6518,0.79771,1.55231,0.00083566,0.00083566,0.00083566
85,994.201,0.69106,0.44123,0.91495,0.86961,0.8,0.85993,0.49761,1.6153,0.74622,1.52995,0.00083368,0.00083368,0.00083368
86,1006.09,0.69458,0.43471,0.90738,0.87178,0.88,0.89226,0.49091,1.62043,0.75026,1.57911,0.0008317,0.0008317,0.0008317
87,1017.75,0.68086,0.41798,0.91638,0.87487,0.84,0.88855,0.47384,1.69659,0.90304,1.684,0.00082972,0.00082972,0.00082972
88,1029.6,0.68846,0.40289,0.92765,0.81728,0.84,0.87401,0.48421,1.55062,0.9431,1.531,0.00082774,0.00082774,0.00082774
89,1040.75,0.68353,0.42844,0.91851,0.84115,0.76,0.85469,0.45509,1.53863,0.92335,1.52397,0.00082576,0.00082576,0.00082576
90,1052.1,0.69909,0.42754,0.92155,0.94089,0.63691,0.78833,0.44684,1.61346,1.08371,1.61238,0.00082378,0.00082378,0.00082378
91,1065.13,0.67639,0.43488,0.89708,0.74974,0.76,0.78958,0.47075,1.60081,0.94526,1.56176,0.0008218,0.0008218,0.0008218
92,1076.38,0.68372,0.42851,0.91937,0.80501,0.82604,0.87417,0.49057,1.61817,0.93797,1.53241,0.00081982,0.00081982,0.00081982
93,1087.64,0.7088,0.43155,0.92146,0.85138,0.76,0.88169,0.47876,1.63577,0.92066,1.54078,0.00081784,0.00081784,0.00081784
94,1099.87,0.67183,0.42813,0.90913,0.87351,0.82902,0.89524,0.47826,1.64605,0.86534,1.57424,0.00081586,0.00081586,0.00081586
95,1110.88,0.67618,0.41185,0.92195,0.95075,0.77264,0.88658,0.48975,1.54618,0.76454,1.5036,0.00081388,0.00081388,0.00081388
96,1124.26,0.6412,0.39657,0.93327,0.9112,0.82139,0.92466,0.49512,1.54298,0.74174,1.54899,0.0008119,0.0008119,0.0008119
97,1136.55,0.64806,0.41274,0.89846,0.95411,0.83187,0.92683,0.48554,1.57529,0.7466,1.58673,0.00080992,0.00080992,0.00080992
98,1148.95,0.66299,0.41485,0.93609,0.85491,0.84,0.8528,0.46365,1.69716,0.90018,1.70795,0.00080794,0.00080794,0.00080794
99,1161.44,0.63315,0.42203,0.8991,0.91275,0.83704,0.90852,0.48652,1.65651,0.83289,1.64867,0.00080596,0.00080596,0.00080596
100,1174.11,0.6188,0.40151,0.89442,0.93188,0.84,0.91597,0.504,1.61857,0.77309,1.60892,0.00080398,0.00080398,0.00080398
101,1187.9,0.66288,0.40355,0.93145,0.84706,0.84,0.89869,0.49379,1.64393,0.79389,1.65321,0.000802,0.000802,0.000802
102,1202.62,0.61167,0.3855,0.88945,0.83896,0.88,0.86796,0.47659,1.65153,0.88831,1.64922,0.00080002,0.00080002,0.00080002
103,1216.33,0.64104,0.38635,0.88566,0.94824,0.88,0.89198,0.48935,1.5843,0.87392,1.54919,0.00079804,0.00079804,0.00079804
104,1229.92,0.63527,0.4038,0.90923,0.80544,0.82827,0.83157,0.47932,1.59974,0.91277,1.57934,0.00079606,0.00079606,0.00079606
105,1243.28,0.64653,0.39709,0.89768,0.85221,0.84,0.88095,0.4928,1.58701,0.8798,1.58236,0.00079408,0.00079408,0.00079408
106,1258.06,0.67691,0.4213,0.93294,0.95413,0.84,0.89373,0.47579,1.54052,0.88278,1.52639,0.0007921,0.0007921,0.0007921
107,1272.07,0.64951,0.4101,0.92187,0.83935,0.83611,0.87289,0.47113,1.64798,1.00681,1.55885,0.00079012,0.00079012,0.00079012
108,1286.82,0.6355,0.39561,0.89114,0.91443,0.8,0.88367,0.46538,1.64669,0.9794,1.5963,0.00078814,0.00078814,0.00078814
109,1302.44,0.64207,0.39929,0.92315,0.88973,0.76,0.82972,0.4684,1.65324,1.00301,1.59801,0.00078616,0.00078616,0.00078616
110,1317.28,0.6779,0.41228,0.91477,0.94968,0.75509,0.86331,0.47446,1.58721,0.9275,1.52083,0.00078418,0.00078418,0.00078418
111,1330.55,0.67836,0.40685,0.91815,0.86785,0.76,0.8062,0.45615,1.60658,0.88213,1.53204,0.0007822,0.0007822,0.0007822
112,1345.23,0.65563,0.39405,0.91805,0.97122,0.76,0.88519,0.49928,1.58127,0.91607,1.57191,0.00078022,0.00078022,0.00078022
113,1361.93,0.6733,0.39478,0.89189,0.95011,0.76189,0.86391,0.51329,1.56561,0.96564,1.55379,0.00077824,0.00077824,0.00077824
114,1377.44,0.65199,0.39412,0.89396,0.8224,0.76,0.82489,0.48621,1.63073,0.97741,1.51393,0.00077626,0.00077626,0.00077626
115,1391.39,0.67536,0.40639,0.92284,0.89714,0.69825,0.82923,0.47186,1.68373,0.95124,1.56822,0.00077428,0.00077428,0.00077428
116,1403,0.63003,0.38494,0.89673,0.95445,0.76,0.88113,0.50634,1.57547,0.88857,1.47143,0.0007723,0.0007723,0.0007723
117,1416,0.68937,0.41917,0.93208,0.9314,0.72,0.84534,0.49018,1.58137,0.87739,1.47556,0.00077032,0.00077032,0.00077032
118,1428.09,0.62846,0.40241,0.91031,0.92453,0.72,0.82701,0.48197,1.66002,0.846,1.55476,0.00076834,0.00076834,0.00076834
119,1441.23,0.55814,0.34648,0.86538,0.99234,0.76,0.88756,0.49864,1.65213,0.76556,1.55596,0.00076636,0.00076636,0.00076636
